name,description,price,category
Dove Soap,"Gentle moisturizing beauty bar for all skin types",45,Personal Care
Surf Excel Detergent,"Powerful stain remover detergent powder",110,Home Essentials
Kellogg's Corn Flakes,"Healthy breakfast cereal rich in iron and vitamins",165,Food
iPhone 14,"Apple smartphone with A15 chip and dual camera",79999,Electronics
Samsung 32\" TV,"HD ready LED smart television with built-in apps",15999,Electronics
Godrej Hair Dye,"Natural black hair color with aloe vera",90,Personal Care
Maggi Noodles,"Instant 2-minute noodles with masala flavor",15,Food
Harpic Toilet Cleaner,"Disinfectant liquid for toilet bowl cleaning",85,Cleaning
Colgate Toothpaste,"Strong teeth formula with cavity protection",55,Personal Care
Ariel Matic Liquid,"Liquid detergent for top load washing machines",220,Home Essentials
Real Mixed Fruit Juice,"Fruit juice with no added preservatives",105,Food
Mi Smart Band 5,"Fitness tracker with heart rate monitor",1999,Electronics
Tide Detergent Powder,"Economical washing powder for bright clothes",95,Cleaning
Nivea Body Lotion,"Long-lasting moisturizing lotion for dry skin",160,Personal Care
Parle-G Biscuits,"Classic glucose biscuits with milk goodness",10,Food
LG Refrigerator,"Double door fridge with inverter compressor",28990,Electronics
Lizol Floor Cleaner,"Cleans 99.9% germs and gives citrus fragrance",99,Cleaning
Amul Butter,"Salted dairy butter for cooking and spreading",55,Food
Dettol Handwash,"Antibacterial handwash with moisturizing effect",85,Personal Care
Sony Headphones,"Wireless over-ear headphones with noise cancellation",3499,Electronics
Parker Pen,"Premium ballpoint pen with smooth ink flow",250,Stationery
Haldiram Bhujia,"Spicy Indian snack made from gram flour",65,Food
Acer Laptop,"15.6\" screen with Intel i5 and SSD storage",45990,Electronics
Lux Body Wash,"Floral-scented silky body wash for smooth skin",125,Personal Care
Clean Mate Phenyl,"Floor disinfectant for all types of surfaces",60,Cleaning
Patanjali Ghee,"Pure cow ghee ideal for cooking",599,Food
Campus Shoes,"Casual lace-up shoes for men",1099,Fashion
Ray-Ban Sunglasses,"Classic aviator unisex sunglasses",6990,Fashion
Philips Hair Dryer,"Compact hair dryer with heat settings",1099,Electronics
